,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,PERIOD,GAME_WON
0,0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:20,1,7,0.143,0,4,0.0,2,2,1.0,1,4,5,2,2,0,2,1,4,0.0,1,True
1,0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:18,4,6,0.667,0,1,0.0,4,4,1.0,0,0,0,2,0,0,0,0,12,2.0,2,True
2,0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:27,2,4,0.5,2,4,0.5,2,2,1.0,0,1,1,1,2,1,1,0,8,18.0,3,True
3,0022200002,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,4.000000:43,3,5,0.6,2,4,0.5,1,1,1.0,0,0,0,2,0,0,1,0,9,0.0,4,True
4,0022200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:29,2,4,0.5,1,3,0.333,4,4,1.0,0,1,1,2,0,0,0,0,9,1.0,1,False
5,0022200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:18,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,0,4,-7.0,2,False
6,0022200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:11,2,6,0.333,1,2,0.5,5,5,1.0,1,1,2,1,0,0,2,0,10,9.0,3,False
7,0022200026,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:57,4,8,0.5,3,4,0.75,0,0,0.0,0,0,0,0,0,0,1,2,11,6.0,4,False
8,0022200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:35,3,5,0.6,1,2,0.5,0,0,0.0,0,2,2,2,0,0,1,2,7,4.0,1,True
9,0022200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:57,6,8,0.75,5,6,0.833,4,4,1.0,0,0,0,0,1,0,0,0,21,16.0,2,True
10,0022200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:31,2,5,0.4,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,1,5,6.0,3,True
11,0022200042,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:18,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-7.0,4,True
12,0022200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,9.000000:09,1,3,0.333,0,0,0.0,1,1,1.0,0,2,2,1,0,0,0,0,3,-5.0,1,False
13,0022200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:32,3,4,0.75,3,4,0.75,1,2,0.5,0,1,1,3,1,0,0,1,10,-1.0,2,False
14,0022200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,7.000000:51,1,3,0.333,0,1,0.0,1,2,0.5,0,1,1,3,0,0,1,0,3,-9.0,3,False
15,0022200055,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,5.000000:23,2,7,0.286,1,4,0.25,0,0,0.0,0,3,3,1,0,0,0,0,5,-2.0,4,False
16,0022200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,10.000000:07,3,4,0.75,1,2,0.5,0,0,0.0,1,1,2,2,0,0,1,0,7,0.0,1,True
17,0022200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,8.000000:30,2,4,0.5,1,3,0.333,0,0,0.0,0,0,0,1,0,0,0,0,5,5.0,2,True
18,0022200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,11.000000:20,4,8,0.5,3,6,0.5,0,0,0.0,0,3,3,4,1,0,2,0,11,-2.0,3,True
19,0022200068,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,6.000000:59,4,6,0.667,2,3,0.667,0,0,0.0,0,2,2,2,0,0,0,0,10,10.0,4,True
