home_team,away_team,ticket_price,date,day_of_week,time,location,url,game_type,duplicate
Phoenix Mercury,New York Liberty,13.0,2025-06-27,Friday,19:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-06-27-7-pm/17289925,regular_season,
Atlanta Dream,Minnesota Lynx,37.0,2025-06-27,Friday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-27-7-30-pm/17290127,regular_season,
Dallas Wings,Washington Mystics,65.0,2025-06-28,Saturday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-06-28-7-pm/17290260,regular_season,
Los Angeles Sparks,Chicago Sky,70.0,2025-06-29,Sunday,15:00,"Crypto.com Arena ·  ·  · Los Angeles, CA",/los-angeles-sparks-tickets/wnba/2025-06-29-3-pm/17289930,regular_season,
Atlanta Dream,New York Liberty,48.0,2025-06-29,Sunday,15:00,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-06-29-3-pm/17290130,regular_season,
Phoenix Mercury,Las Vegas Aces,18.0,2025-06-29,Sunday,15:00,"PHX Arena ·  ·  · Phoenix, AZ",/phoenix-mercury-tickets/wnba/2025-06-29-3-pm/17289934,regular_season,
Golden State Valkyries,Seattle Storm,38.0,2025-06-29,Sunday,17:30,"Chase Center ·  ·  · San Francisco, CA",/golden-state-valkyries-tickets/wnba/2025-06-29-5-30-pm/17290306,regular_season,
Minnesota Lynx,Connecticut Sun,76.0,2025-06-29,Sunday,18:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-06-29-6-pm/17289931,regular_season,
Dallas Wings,Phoenix Mercury,60.0,2025-07-03,Thursday,19:00,"College Park Center ·  ·  · Arlington, TX",/dallas-wings-tickets/wnba/2025-07-03-7-pm/17290261,regular_season,
Indiana Fever,Las Vegas Aces,34.0,2025-07-03,Thursday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-03-7-pm/17290349,regular_season,
Minnesota Lynx,Washington Mystics,102.0,2025-07-03,Thursday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-03-7-pm/17289933,regular_season,
New York Liberty,Los Angeles Sparks,23.0,2025-07-03,Thursday,19:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-03-7-pm/17289936,regular_season,
Atlanta Dream,Seattle Storm,41.0,2025-07-03,Thursday,19:30,"Gateway Center Arena at College Park ·  ·  · College Park, GA",/atlanta-dream-tickets/wnba/2025-07-03-7-30-pm/17290129,regular_season,
Indiana Fever,Los Angeles Sparks,32.0,2025-07-05,Saturday,19:00,"Gainbridge Fieldhouse ·  ·  · Indianapolis, IN",/indiana-fever-tickets/wnba/2025-07-05-7-pm/17290350,regular_season,
Minnesota Lynx,Golden State Valkyries,111.0,2025-07-05,Saturday,19:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-05-7-pm/17289941,regular_season,
New York Liberty,Seattle Storm,16.0,2025-07-06,Sunday,15:00,"Barclays Center ·  ·  · Brooklyn, NY",/new-york-liberty-tickets/wnba/2025-07-06-3-pm/17289943,regular_season,
Connecticut Sun,Las Vegas Aces,25.0,2025-07-06,Sunday,16:00,"Mohegan Sun Arena ·  ·  · Uncasville, CT",/connecticut-sun-tickets/wnba/2025-07-06-4-pm/17290214,regular_season,
Minnesota Lynx,Chicago Sky,126.0,2025-07-06,Sunday,18:00,"Target Center ·  ·  · Minneapolis, MN",/minnesota-lynx-tickets/wnba/2025-07-06-6-pm/17289942,regular_season,
